Record ID,Business Name,CEO,Founded Year,Headquarters,Annual Growth (%),Market Value ($M),Public/Private,Main Product,Website
201,Wilson and Sons,James Cummings,1973,"East Yvonne, Hong Kong",13.34,482.16,Private,Product,https://www.mcgrath.com/
202,Zhang Inc,Ryan Peterson,2006,"Christianview, Argentina",19.52,56.97,Public,Software,http://www.cantrell.com/
203,Miranda-Garcia,Debra Lucas,1960,"Larsonmouth, Tanzania",-4.66,420.85,Public,Hardware,http://www.warner.com/
204,Alvarez Ltd,Brian Jones,1958,"Nelsonshire, Monaco",14.78,296.09,Public,Product,http://www.scott-clark.info/
205,Perez-Contreras,Mitchell Diaz,1982,"East Jeffreyshire, Faroe Islands",12.16,194.01,Public,Service,http://turner.com/
206,Chambers and Sons,Charles Parks,1976,"Port Julia, Sierra Leone",6.31,36.07,Private,Service,https://www.brown.info/
207,Hebert-Kline,Sandy Michael,1969,"New Pamelaview, Isle of Man",5.1,439.16,Public,Service,http://hodges.net/
208,Obrien LLC,David Macias,2005,"South Christopher, Zambia",11.26,126.96,Private,Product,https://www.chavez.com/
209,"Johnson, Smith and Jacobson",Olivia Frost,1994,"Lisafort, Korea",13.21,257.71,Public,Software,http://griffin.biz/
210,Garcia LLC,Richard Martin,2017,"Aaronview, Serbia",16.32,277.9,Public,Software,https://www.bowen-cobb.com/
211,"Sullivan, Lopez and Roberts",Marie Williams,1991,"New Michaelhaven, Bhutan",4.39,393.1,Private,Hardware,http://www.smith-hamilton.com/
212,"Stewart, Bush and Lambert",Kaitlyn Reyes,1967,"Lake Rachel, Afghanistan",15.83,141.88,Public,Product,http://parsons-zimmerman.com/
213,"Moore, Anderson and Roy",Robert Smith,1964,"North Kevinville, Monaco",2.08,29.68,Public,Consulting,https://eaton.info/
214,"Alexander, Moore and Mercado",Michelle Ellis,1990,"Christinechester, Turkey",9.73,411.83,Private,Service,http://vaughn.com/
215,"Holloway, Mcclain and Harris",Madison Booth,2012,"Lindamouth, Solomon Islands",10,313.38,Private,Software,http://bright.com/
216,Kim Inc,David Perkins,1986,"Hoffmanberg, Norfolk Island",-3.61,468.72,Public,Consulting,http://www.smith.com/
