Business Name,CEO,Founded Year,Headquarters,Annual Growth (%),Market Value ($M),Public/Private,Main Product,Website
Wilson and Sons,James Cummings,1973,"East Yvonne, Hong Kong",13.34,482.16,Private,Product,https://www.mcgrath.com/
Zhang Inc,Ryan Peterson,2006,"Christianview, Argentina",19.52,56.97,Public,Software,http://www.cantrell.com/
Miranda-Garcia,Debra Lucas,1960,"Larsonmouth, Tanzania",-4.66,420.85,Public,Hardware,http://www.warner.com/
Alvarez Ltd,Brian Jones,1958,"Nelsonshire, Monaco",14.78,296.09,Public,Product,http://www.scott-clark.info/
Perez-Contreras,Mitchell Diaz,1982,"East Jeffreyshire, Faroe Islands",12.16,194.01,Public,Service,http://turner.com/
Chambers and Sons,Charles Parks,1976,"Port Julia, Sierra Leone",6.31,36.07,Private,Service,https://www.brown.info/
Hebert-Kline,Sandy Michael,1969,"New Pamelaview, Isle of Man",5.1,439.16,Public,Service,http://hodges.net/
Obrien LLC,David Macias,2005,"South Christopher, Zambia",11.26,126.96,Private,Product,https://www.chavez.com/
"Johnson, Smith and Jacobson",Olivia Frost,1994,"Lisafort, Korea",13.21,257.71,Public,Software,http://griffin.biz/
Garcia LLC,Richard Martin,2017,"Aaronview, Serbia",16.32,277.9,Public,Software,https://www.bowen-cobb.com/
"Sullivan, Lopez and Roberts",Marie Williams,1991,"New Michaelhaven, Bhutan",4.39,393.1,Private,Hardware,http://www.smith-hamilton.com/
"Stewart, Bush and Lambert",Kaitlyn Reyes,1967,"Lake Rachel, Afghanistan",15.83,141.88,Public,Product,http://parsons-zimmerman.com/
"Moore, Anderson and Roy",Robert Smith,1964,"North Kevinville, Monaco",2.08,29.68,Public,Consulting,https://eaton.info/
"Alexander, Moore and Mercado",Michelle Ellis,1990,"Christinechester, Turkey",9.73,411.83,Private,Service,http://vaughn.com/
"Holloway, Mcclain and Harris",Madison Booth,2012,"Lindamouth, Solomon Islands",10,313.38,Private,Software,http://bright.com/
Kim Inc,David Perkins,1986,"Hoffmanberg, Norfolk Island",-3.61,468.72,Public,Consulting,http://www.smith.com/
"Stewart, Smith and Carr",Nicole Olsen,1960,"Lake Marybury, United States Virgin Islands",17.46,18.25,Private,Hardware,http://fisher.com/
"Harvey, Callahan and Murray",Ralph Williams,1987,"South Charlesberg, Germany",-0.96,490.96,Public,Consulting,https://www.gill.info/
Mcgrath Ltd,David Wade,1975,"Port Katherine, Central African Republic",17.93,166.88,Public,Service,https://www.lopez.org/
"Mendez, Novak and Bush",Michael Herman,1990,"Williamsville, Cape Verde",17.45,186.8,Private,Product,http://herrera.org/
"Perez, Wilson and Duarte",Christopher Olsen,1968,"South Valerie, Suriname",6.75,224.52,Private,Product,https://www.gray.com/
"Clark, Parker and Mendez",Hannah Shannon,2013,"Brianside, Bangladesh",19.63,305.51,Private,Service,http://juarez.info/
"Duran, Mack and Smith",Heather Hernandez,1989,"Dianemouth, France",11.21,431.23,Public,Service,https://www.green.com/
"Roth, Jackson and Miller",Michelle Brown,2011,"Contrerasborough, Serbia",19.51,317.24,Public,Hardware,http://www.morgan.biz/
Davis Ltd,Brian Stewart,1981,"North Brittney, United States of America",-4,222.76,Public,Product,http://cochran-nicholson.biz/
Brooks LLC,Joshua Sweeney,2005,"Dustinstad, Lebanon",18.15,419.78,Public,Product,https://ramirez.net/
Garrett LLC,Michelle Jacobs,1993,"East Matthewfurt, Uzbekistan",7.38,347.2,Private,Hardware,http://www.warren-williams.com/
West-Davis,Ethan Meyer,1957,"Stephanieshire, Bahrain",17.71,401.22,Private,Service,https://www.henderson.org/
Smith and Sons,Vanessa Thornton,2022,"Williamburgh, Dominican Republic",-3.88,225.48,Private,Consulting,http://www.donovan.net/
"Petty, Harris and Watts",Veronica Williams,1986,"East Robert, French Guiana",5.31,324.66,Private,Consulting,http://www.ford.com/
Nicholson-Ferguson,Pamela Rowe,2012,"South Vanessa, Estonia",-0.29,222.35,Private,Software,https://gibson-moore.info/
"Parks, Mendoza and Chavez",Stacy Bond,1973,"North Danielfurt, San Marino",18.27,239.71,Public,Service,http://www.christensen.com/
"Trujillo, Smith and Copeland",Kristy Davis,1967,"Lake Dianaland, Kenya",0.37,354.26,Public,Hardware,http://www.gibson.com/
Castro-Barnes,Wesley Lopez,2005,"West Nicholasland, Spain",10.39,71.48,Private,Consulting,https://berry.com/
Robinson PLC,Melissa Watson,2021,"Christophermouth, Georgia",15.55,310.68,Private,Product,http://hampton.com/
"Perez, Smith and Rodriguez",Thomas Duarte,1969,"Palmerfort, Peru",13.47,490.48,Private,Product,https://www.parks-keith.com/
Miller-Byrd,Jared Davis,1956,"Thomashaven, Monaco",18.57,340.82,Public,Service,http://www.duncan-quinn.com/
Anderson PLC,Brian Harmon,2009,"North Williamhaven, Lithuania",10.45,172.91,Public,Consulting,http://hunt.com/
"Castro, Anderson and Obrien",Lisa Sherman,1984,"Ricemouth, Congo",16.23,173.73,Public,Consulting,http://www.barnes-hendricks.com/
Williams and Sons,Michelle Kaiser,1960,"Port Nathaniel, Heard Island and McDonald Islands",-1.4,51.09,Public,Product,https://www.chang.com/
Maxwell-Smith,James Price,1999,"South Mercedes, Vanuatu",19.55,310.35,Public,Hardware,http://www.mann.com/
"Robinson, Walton and Cruz",Jared Cohen,1964,"Edwardsview, Svalbard & Jan Mayen Islands",10.41,256.45,Public,Consulting,https://marshall-wilson.com/
Mcfarland Inc,Jimmy Beck,1967,"Carlosland, Australia",13.9,306.45,Public,Software,http://johnson.com/
Owens-Nichols,Shawn Hill,1967,"New Stephanie, Puerto Rico",7.87,16.63,Public,Hardware,http://www.hubbard.org/
"Davis, Lopez and Coleman",Eric Davis,1982,"New Sandra, United Arab Emirates",17.43,380.98,Public,Software,http://www.hanson.net/
"Lawson, Hernandez and Nelson",Kelly Brown,1976,"New Ericshire, Madagascar",1.31,436.92,Private,Consulting,http://www.robertson.com/
"Moore, Chapman and Herring",Kimberly Wilson,1989,"West Vanessa, Turkmenistan",13.53,290.96,Public,Software,https://richard-kelley.com/
Delgado PLC,Reginald Fischer,1983,"Port Davidstad, Holy See (Vatican City State)",19.61,371.26,Private,Software,https://www.meyers-orr.info/
